City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,North Platte,41.1239,-100.7654,15.6,28,0,1.54,US,1698870775
80,Whitehorse,60.7161,-135.0538,0.45,93,100,3.09,CA,1698870773
81,Nadym,65.5333,72.5167,-9.28,95,100,3.06,RU,1698870776
82,Sankt Johann,48.454,9.344,9.81,65,98,2.68,DE,1698870776
83,Rio De Janeiro,-22.9028,-43.2075,24.0,83,75,7.2,BR,1698870525
84,Port Alfred,-33.5906,26.891,17.32,86,100,1.79,ZA,1698870776
85,Severo-Yeniseyskiy,60.3725,93.0408,-19.28,95,29,1.57,RU,1698870776
86,Searcy,35.2506,-91.7363,11.87,31,0,2.06,US,1698870777
87,Enewetak,11.3474,162.3373,28.34,74,100,6.11,MH,1698870777
88,Riviere-Du-Loup,47.8304,-69.5342,1.49,51,84,3.09,CA,1698870777
89,Richmond,37.5538,-77.4603,11.15,39,20,7.2,US,1698870601
90,Ushuaia,-54.8,-68.3,8.81,46,0,10.8,AR,1698870563
91,Coahuayana De Hidalgo,18.7,-103.6583,30.42,68,74,2.35,MX,1698870777
92,Klyuchi,52.2667,79.1667,1.16,95,100,7.54,RU,1698870778
93,Kalmunai,7.4167,81.8167,25.98,85,84,2.47,LK,1698870778
94,Nagqu,31.5,92.0,-3.41,91,100,3.7,CN,1698870778
95,Vallenar,-28.5708,-70.7581,18.66,29,46,4.89,CL,1698870778
96,Kavaratti,10.5669,72.642,28.03,74,49,2.83,IN,1698870778
97,Grand Falls-Windsor,48.9332,-55.6649,3.61,74,100,1.41,CA,1698870516
98,Petropavlovsk-Kamchatsky,53.0452,158.6483,1.36,63,100,4.0,RU,1698870694
99,Chonchi,-42.6128,-73.8092,17.56,44,6,1.94,CL,1698870762
100,Korla,41.7597,86.1469,9.34,58,6,0.96,CN,1698870779
101,Adam,22.3756,57.5233,22.64,55,4,0.8,OM,1698870779
102,Cockburn Town,21.4612,-71.1419,28.71,77,97,6.13,TC,1698870779
103,Yeppoon,-23.1333,150.7333,21.88,68,18,5.66,AU,1698870779
104,Brookings,44.3114,-96.7984,7.0,52,0,6.69,US,1698870779
105,Ust-Nera,64.5667,143.2,-17.05,99,100,2.22,RU,1698870742
106,Smithers,54.7804,-127.1743,1.18,75,75,1.54,CA,1698870780
107,Punta Arenas,-53.15,-70.9167,9.06,43,0,11.32,CL,1698870780
108,Kapuskasing,49.4169,-82.4331,1.05,51,75,6.69,CA,1698870780
109,St. John'S,47.5649,-52.7093,7.1,84,100,5.66,CA,1698870622
110,La Passe,45.5549,-0.8967,14.13,86,99,13.14,FR,1698870780
111,Isafjordur,66.0755,-23.124,1.84,77,88,4.52,IS,1698870781
112,College,64.8569,-147.8028,2.11,84,40,1.54,US,1698870781
113,Talnakh,69.4865,88.3972,-14.33,92,100,3.19,RU,1698870781
114,Aasiaat,68.7098,-52.8699,-0.94,67,100,9.41,GL,1698870781
115,Bratsk,56.1325,101.6142,-16.73,79,18,2.22,RU,1698870689
116,Port Elizabeth,-33.918,25.5701,17.95,90,40,5.14,ZA,1698870190
117,Ilulissat,69.2167,-51.1,5.01,33,99,16.98,GL,1698870781
118,Dingli,35.8614,14.3822,22.67,73,20,3.09,MT,1698870782
119,Egilsstadir,65.2653,-14.3948,0.95,93,40,3.6,IS,1698870782
120,Tommot,58.9564,126.2925,-19.31,95,99,2.98,RU,1698870782
121,Novyy Oskol,50.7631,37.8691,12.57,76,100,2.19,RU,1698870783
122,Tirumullaivasal,11.2333,79.8333,26.87,82,100,3.87,IN,1698870783
123,Rawlins,41.7911,-107.2387,10.94,19,0,10.8,US,1698870783
124,Weno,7.4515,151.8468,25.97,100,75,0.0,FM,1698870783
125,Sabha,27.0377,14.4283,23.66,23,0,2.82,LY,1698870784
126,Port Lincoln,-34.7333,135.8667,13.7,82,91,4.95,AU,1698870784
127,Vazante,-17.9869,-46.9078,28.77,51,85,2.36,BR,1698870784
128,Bamboo Flat,11.7,92.7167,27.05,83,75,1.03,IN,1698870559
129,Hermanus,-34.4187,19.2345,16.54,85,100,6.85,ZA,1698870785
130,Belyy Yar,53.6039,91.3903,-3.06,100,100,0.0,RU,1698870785
131,Shingu,33.7333,135.9833,14.29,65,0,2.53,JP,1698870785
132,Telimele,10.9167,-13.3333,22.37,92,81,1.0,GN,1698870785
133,Malanje,-9.5402,16.341,17.62,98,100,1.08,AO,1698870786
134,Xiongzhou,25.1167,114.3,17.71,84,5,0.64,CN,1698870786
135,Portoferraio,42.8115,10.3146,19.21,88,70,5.14,IT,1698870786
136,Carutapera,-1.195,-46.02,27.26,78,1,4.44,BR,1698870787
